TRUE,43.38,Chicken Wings and Fries,Normal
TRUE,147.86,9oz Ribeye and Mashed Potatoes,Normal
TRUE,141.39,"24oz Ribeye, Mashed Potatoes, and Broccoli",Normal
TRUE,49.35,"Salmon, Rice and Caesars Salad",Normal
TRUE,90.56,Smoked Chicken and Corn,Normal
TRUE,35.13,Vegetarian Burger (Soy) and Sweet Potato Fries,Vegetarian
TRUE,30.62,Vegetarian Burger (Quinoa) and Potato Fries,Vegetarian
TRUE,25.03,"4 Veggie Panini (Tomato, Lettuce, Onions, Olives)",Vegetarian
TRUE,7.00,Ice Tea,Normal
TRUE,3.0,Water,Normal
